sentence1,sentence2,label,,,,
I want to kill myself. Suicide is the best option.,"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",0,,,,
I want to kill myself. Suicide is the best option.,I don't feel like she loves me as much as she says she does,0,,,,
"anxiety, depression, sucidal thoughts, self harm, school issues, low self esteem, domestic violence, trauma, death of a teacher. feeling like i do everything and everything is to blame on me.","i have a crush on a guy who already has a boyfriend. i wouldn't deserve him anyway, i'm just painfully lonely",0,,,,
stress,stress and nerves,1,,,,
i want to talk to a little girl,rainbow,0,,,,
Work makes me feel negative,Working late again trying to balance work life and social life,1,,,,
Working late again trying to balance work life and social life,I feel so alone..,0,,,,
Can someone figure out my sexuality for me because I can't,Family makes me feel restricted pressured,0,,,,
I'm just now realizing how lonely I actually am,My dad is racist,0,,,,
moving past a relationship,addiction love,1,,,,
anxiety,jaleosy,0,,,,
"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?",Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,0,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,i think a sexual assault several years ago has damaged me more than i realized,0,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",Why did I stoop so low and dated a married man. ....I broke it off but now I miss him,1,,,,
i have a problem regarding my brother that i don't know how to solve,"miss my ex boyfriend, while i have a way better boyfriend now :(",0,,,,
my life makes me feel,i feel suicidal and depressed,0,,,,
"The girl I like keeps hanging out with this other guy,what do I do?",I have no friends at all,0,,,,
"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?",I'm depressed and losing control of my life.,0,,,,
Family makes me feel restricted pressured,I am scared that PTSD is going to ruin my life.,0,,,,
i am struggling with my all of the relationships in my life.,"i miss who i was, and am struggling with how it is different then the present",0,,,,
i'm a schizophrenic phsycopath,phil,0,,,,
idk what to do,idk what my struggles are tbh,1,,,,
"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??",How do I get enough motivation for studying?,0,,,,
"I am tired, work has been brutal lately.","I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",0,,,,
"He's never there, he's never listening, he doesn't care…","My girlfriend just left me, her dad is abusive and he found out about us",0,,,,
Feeling lonely lately,"Feeling sad, lonely, and seasonal depression",1,,,,
i'm there for my coworkers but they rarely help me when I need it.,I have no problem beating up a none year old if they don't stop bullying my little girl.,0,,,,
Living in a non military community is hard. Most people you meet don't understand what obstacles we as military wives face.,I feel really stressed about college.,0,,,,
"He's never there, he's never listening, he doesn't care…",No one actually cares about me. Being left alone when I'm struggling sucks.,0,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,"He's never there, he's never listening, he doesn't care…",1,,,,
"I feel like there's something wrong with me, I do so much for him but doesn't show exactly the same back. Not on an emotional level but physically and maybe sexually as well.","I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
Having a bipolar Mom means I never know which Mom I get that day.,My BPD girlfriend just discarded me. I feel so low.,1,,,,
i feel empty,everything,0,,,,
ex-girlfriend,found mom on website,0,,,,
Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,"why do parents always give me so much crap for nothing, they just add more, and more stipulations",0,,,,
everyone i love dies,relationship finding true love,0,,,,
deprressed,sexuality,0,,,,
Domestic abuse\n,"the struggle Life, my life is going in a downhill spiral and everything is just bad for me right now i'm trying to not self-harm passive suicidal cannot focus I feel like my thoughts are taking over and I’m having trouble coping  Verbal abuse and depression Anxiety in my current relationship depression My stress makes me feel  Depression  My something makes me feel isolated when I am surrounded by people who care. Gives me panic attacks and makes me scared of non existent things Depression, Anxiety, Possible PTSD",0,,,,
kinks,idk what to put,0,,,,
porn,i just feel like such a hollowed out version of myself i can’t really remember who i was and i have no idea who i want or am going to be,0,,,,
Depersonalization is not fun. Being in a body feels so strange right now.,Living without drugs is incredibly challenging.,0,,,,
being social,my favorite wrestler hana kimura commit suicide,0,,,,
thoughts of not living,"depression, suicidal thoughts and self harm",1,,,,
"i've been struggling with a marijuana addiction for five years, i recently quit and i'm very confused as to how i feel / how i can respond to these feelings of depression and anxiety","giving up the need to control, anxiety",0,,,,
i don't know how to not let my partners issues affect me and i feel emotionally drained,"lack of confidence, isolation has lead to an increase an analytical thinking and existentialist though patterns resulting in sharp suicidal and genocidal thoughts",1,,,,
"I just broke down in tears while working, nice, three more hours to go..","I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .",0,,,,
Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,I'm depressed and losing control of my life.,0,,,,
letting go after divorce,"me and my girlfriend have broken up, but i want to get her back in my life",1,,,,
